,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
Banas Kantha,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Banda,0.03406312,-0.079225235,-0.058304932,-0.23577027,-0.12995042,-19138.73,0.12938237
Banka,0.03864948,-0.060345724,-0.08499368,-0.05754161,0.10767371,-26480.545,-0.012023764
Bankura,0.03913841,-0.056002244,-0.0673203,-0.020110063,-0.02687521,-21437.943,-0.045902714
Banswara,0.03325205,-0.07037082,-0.05044795,-0.35209113,-0.5039349,-14021.102,0.113081805
Bara Banki,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Baramula,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Baran,0.02552086,-0.049495976,-0.060142674,-0.14530423,-0.25485677,-15460.469,0.028769674
Barddhaman,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Bareilly,0.08582252,-0.090950035,-0.044039045,-0.3847263,-0.0060673254,-15213.169,0.16120635
Bargarh,0.02921787,-0.053647954,-0.079624884,0.12337751,-0.0527677,-23669.703,0.057882383
Barmer,0.07020716,-0.06618964,-0.045602754,-0.30917156,-0.41378987,-12501.82,0.12338298
Barnala,0.013409705,-0.042585954,-0.106149256,0.16691235,0.0023969312,-29858.861,0.10551348
Barpeta,0.025125427,-0.077951476,-0.059055015,-0.6146336,0.22341679,-18784.246,0.2696531
Barwani,0.06325641,-0.077712886,-0.0752602,-0.03404277,0.01444275,-23554.36,-0.007761185
Bastar,0.030318359,-0.012485879,-0.1151285,0.20356561,0.010112063,-25922.56,0.043681055
Basti,0.059775874,-0.07627905,-0.053829577,-0.28371912,-0.06821888,-18324.98,0.12997806
Bathinda,0.03596459,-0.040590245,-0.094825126,0.17746852,0.028967634,-25234.982,0.017708981
Begusarai,0.057518378,-0.05343633,-0.086326055,-0.07532053,0.0855858,-25366.018,0.024856005
Betul,0.06206198,-0.050149716,-0.09067388,0.07226224,0.022637552,-24333.213,-0.0023425445
Bhadrak,0.038101796,-0.06026916,-0.07520461,0.045845486,-0.091963865,-24417.588,0.023110287
Bhagalpur,0.05695331,-0.048902236,-0.088588595,-0.05952943,0.112214305,-25372.066,0.021821052
Bhandara,0.03393011,-0.021443985,-0.110819854,-0.21689434,-0.18161896,-26139.922,0.17273317
Bharatpur,0.050865475,-0.058066647,-0.061272472,-0.18126696,-0.32045457,-16988.04,0.106974594
Bharuch,0.031383883,-0.06211468,-0.08898303,0.005909017,-0.0074130604,-29271.18,0.046009332
Bhavnagar,0.05948415,-0.056431204,-0.09177364,0.024211932,0.012828063,-27347.072,-0.010340043
Bhilwara,0.037217386,-0.056562327,-0.046202853,-0.35204932,-0.34981474,-12187.237,0.08995067
Bhind,0.032645985,-0.0906419,-0.046639908,-0.043928444,0.015420385,-16565.756,-0.11943014
Bhiwani,0.03758167,-0.043923922,-0.09263387,-0.017837161,-0.07419367,-25424.852,0.053107392
Bhojpur,0.03786782,-0.046365585,-0.09525662,0.025928026,0.010854411,-26950.63,0.0035772468
Bhopal,0.07187729,-0.051031772,-0.08130527,0.007869032,0.06960416,-23302.33,-0.01348452
Bidar,0.02806887,-0.055258475,-0.069560945,0.098153494,-0.060637098,-19716.123,-0.025072241
Bijapur,0.007727519,-0.027401147,-0.107830696,-0.043938566,0.13651548,-27114.225,0.06087369
Bijnor,0.08026381,-0.0840432,-0.04851534,-0.28343412,-0.0118515985,-16518.025,0.11527479
Bikaner,0.04610573,-0.043222796,-0.0817384,-0.20367397,-0.23147422,-21496.877,0.13965844
Bilaspur,0.07243597,-0.013980602,-0.09096927,0.17693008,-0.0134819085,-22137.19,0.12120707
Birbhum,0.03763296,-0.043939944,-0.07160925,0.018576128,-0.023106514,-19335.83,-0.0644292
Bishnupur,0.010094604,-0.086607054,-0.051132407,-0.040097676,-0.1606991,-16365.554,0.074857555
Bokaro,0.04311961,-0.04558593,-0.10041292,-0.05755838,-0.001823684,-28989.334,0.048162494
Bongaigaon,0.009569376,-0.08320525,-0.07685658,-0.3919282,0.18685474,-26152.531,0.24906164
Budaun,0.03773702,-0.08005474,-0.055516712,-0.3042249,-0.073646195,-19147.412,0.19541885
Bulandshahr,0.06689838,-0.096616104,-0.05808182,-0.37965778,0.1076354,-21974.855,0.20978802
Buldana,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Bundi,0.02184628,-0.05796679,-0.05676567,-0.16785647,-0.2678605,-15730.656,0.01313977
Burhanpur,0.030655444,-0.056769546,-0.0885368,0.06715884,0.022052163,-25135.41,-0.009722574
Buxar,0.021425968,-0.045144364,-0.08932908,-0.0318471,0.03644505,-25213.736,-0.004456055
Cachar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Central,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Chamba,0.012139896,-0.03929865,-0.12662023,-0.018846706,-0.0038632862,-38167.496,0.3562375
Chamoli,0.011276471,-0.056326736,-0.094121136,0.028239673,-0.10742123,-30331.928,0.11216306
Champawat,0.007913995,-0.058313332,-0.0850847,0.084754966,-0.060309492,-26126.37,0.055235907
Champhai,0.0071815867,-0.06575281,-0.11234597,-0.62310666,0.14240862,-38482.992,0.3725284
Chamrajnagar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Chandauli,0.03347106,-0.0809892,-0.06688616,-0.46204585,-0.03942216,-22354.393,0.22058049
Chandel,0.0046544704,-0.07115102,-0.081551485,0.13158323,-0.10033269,-28490.484,0.08693131
Chandigarh,0.037017018,-0.096556686,-0.03420694,-0.010170216,-0.23787749,-14171.828,-0.17405976
Chandrapur,0.07038167,-0.00998906,-0.091855176,-0.11959568,-0.107924744,-19164.965,0.082251556
Changlang,0.0014587246,-0.07041462,-0.09279107,0.09177768,0.14700215,-30751.244,0.24269809
Chatra,0.025933381,-0.053446207,-0.08497272,-0.099943824,-0.057208426,-23698.764,0.03127229
Chennai,0.08026925,-0.03100785,-0.08418791,0.13913678,0.022081379,-22852.348,0.19857317
Chhatarpur,0.067683116,-0.08115029,-0.06617295,-0.0032946626,0.0059649185,-20479.746,-0.095388144
Chhindwara,0.05494561,-0.05222433,-0.08650461,0.080472276,0.0034239087,-23596.07,-0.04614486
Chikkaballapura,0.01521004,-0.05698434,-0.08121734,0.0064156665,0.068782486,-24742.088,-0.0073814974
Chikmagalur,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Chirang,0.00646757,-0.07965579,-0.07542585,-0.21857908,0.22781049,-25600.08,0.14296658
Chitradurga,0.023136608,-0.058362074,-0.08104051,0.06792507,0.028098453,-25056.559,-0.03825784
Chitrakoot,0.02170349,-0.08683725,-0.05809861,-0.28482866,-0.017709903,-19813.402,0.15677904
Chittaurgarh,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Chittoor,0.09026552,-0.06387785,-0.06986251,-0.035450235,0.43445757,-22376.324,0.08297127
Churachandpur,0.006650829,-0.068018,-0.06969505,0.0722524,-0.05911889,-24873.516,0.10801996
Churu,0.046762828,-0.05065905,-0.07289386,-0.22388382,-0.27412018,-19511.422,0.14112891
Coimbatore,0.08543723,-0.027811209,-0.10726502,0.033155113,0.06324798,-28070.895,0.04069694
Cuddalore,0.055850755,-0.048737615,-0.0762668,0.08979394,0.16505885,-21872.883,0.08425981
Cuttack,0.05546789,-0.051534664,-0.08263614,0.12314198,-0.055408064,-25280.562,-0.0033741894
Dadra & Nagar Haveli,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Dakshin Bastar Dantewada,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Dakshina Kannada,0.030886572,-0.06408031,-0.08348524,0.07588713,0.03609087,-28654.496,-0.006324495
Damoh,0.05992887,-0.081207335,-0.08062157,-0.031665817,0.101191476,-24561.404,-0.10192768
Darbhanga,0.079832874,-0.043958917,-0.08030039,-0.08483676,0.062568374,-21023.223,-0.026105369
Darrang,0.009310865,-0.08816562,-0.07564782,-0.1969671,0.015800662,-26649.578,0.11127801
Datia,0.019125206,-0.08158301,-0.06169067,-0.039517753,0.040616766,-19721.666,-0.10359591
Dausa,0.036819708,-0.054097567,-0.06192349,-0.3096962,-0.3405836,-16541.307,0.14545776
Davanagere,0.037428625,-0.04478612,-0.09415498,-0.0021053052,0.06688854,-27870.805,-0.027700482
Debagarh,0.005903969,-0.062418994,-0.08316625,0.14226787,-0.031134581,-25501.855,0.07299394
Dehradun,0.041017547,-0.041541833,-0.072276354,0.040741757,-0.11154194,-20497.73,0.10393834
Deoghar,0.026555622,-0.05495701,-0.089992166,-0.05610754,0.010300162,-26857.115,0.0628015
Deoria,0.05098918,-0.06204447,-0.074307546,-0.22173186,-0.043723695,-22204.826,0.12603028
Dewas,0.0476526,-0.05792773,-0.07781398,0.08601538,0.0075552897,-21880.768,-0.0893041
Dhalai,0.014837593,-0.069293916,-0.09220535,-0.040044993,0.16172275,-30015.496,0.06956208
Dhamtari,0.030464115,-0.01578782,-0.11846548,0.2304732,-0.02089428,-28643.932,0.086008735
Dhanbad,0.0630804,-0.038000192,-0.1124105,-0.021039229,0.025673114,-31342.525,0.027596701
Dhar,0.063633926,-0.073381886,-0.07544553,0.015000093,0.026992759,-23176.209,-0.1054924
Dharmapuri,0.033956956,-0.06283406,-0.07227879,0.07886811,0.120080665,-22841.275,0.15472564
Dharwad,0.03525546,-0.053905483,-0.08380331,0.03610216,0.02604234,-25540.531,-0.011171897
Dhemaji,0.0061401064,-0.07961649,-0.07161747,-0.3376735,0.004596021,-24912.385,0.13487557
Dhenkanal,0.029701332,-0.051909365,-0.09298674,0.119676694,-0.014698114,-27574.162,0.10071562
Dhubri,0.017981833,-0.08060348,-0.067976564,-0.47244015,0.14672664,-22292.818,0.21263985
Dhule,0.070946656,-0.02721777,-0.08844027,-0.12056944,-0.17886806,-20371.615,0.063765794
Dibang Valley,0.0028636677,-0.0707374,-0.10544023,0.1711349,0.038385153,-40813.18,0.19245896
Dibrugarh,0.011973642,-0.08254862,-0.06922484,-0.018958354,-0.059222262,-26072.283,0.050935816
Dima Hasao,0.0034908769,-0.09020959,-0.08275254,-0.14804721,-0.08391214,-32116.545,0.16886215
Dimapur,0.008413731,-0.02599541,-0.12544669,0.06649227,0.046236634,-33870.57,0.1756034
Dindigul,0.07013846,-0.022437073,-0.106834404,0.0060378863,0.034996796,-26328.438,0.090542264
Dindori,0.02711206,-0.07601342,-0.08031316,0.07314002,0.020649007,-24737.828,-0.012335474
Diu,0.00036088956,-0.04901848,-0.10929953,-0.2749273,0.21730804,-36903.7,0.22464007
Doda,0.012137106,-0.045111813,-0.0930031,0.10128032,0.020850902,-27038.514,0.0904947
Dumka,0.030224424,-0.04743112,-0.099733785,-0.103946805,0.08247549,-28682.293,0.10830743
Dungarpur,0.030114478,-0.071364515,-0.05776868,-0.32982594,-0.45203578,-17120.594,0.17214918
Durg,0.056871228,-0.007439102,-0.10602989,0.1887806,-0.021372693,-24386.105,0.21761973
East,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
East Garo Hills,0.0032969106,-0.052043673,-0.10724137,0.11732033,-0.037426166,-33806.598,0.0055716815
East Godavari,0.10887663,-0.0697212,-0.06780639,0.016205024,0.40061775,-22750.3,0.10845152
East Kameng,0.0016465489,-0.07040121,-0.085063085,0.15184285,-0.013040026,-28399.41,0.16793798
East Khasi Hills,0.009184247,-0.045210507,-0.108412564,0.06000336,0.009066261,-34105.94,0.084967375
East Siang,0.0030067845,-0.07305528,-0.10148141,-0.03841664,0.040318593,-35124.457,0.372586
Ernakulam,0.05916641,-0.04707962,-0.09940039,0.026439635,0.041862246,-29969.93,0.007893178
Erode,0.048528835,-0.022500122,-0.09595747,0.036335945,0.04094701,-24460.209,0.16059683
Etah,0.034269493,-0.10517934,-0.0891651,-0.55888337,0.17543487,-30820.982,0.28095934
Etawah,0.028648982,-0.077002585,-0.07302377,-0.3825822,-0.063327566,-23730.406,0.22856688
Faridabad,0.04373736,-0.04680585,-0.08287242,0.074664265,-0.06242503,-23331.113,0.09002533
Faridkot,0.014885612,-0.03898667,-0.09920526,0.06930976,-0.018821258,-25693.596,-0.010499718
Farrukhabad,0.026319083,-0.09106465,-0.06393458,-0.37611333,-0.037783347,-22548.66,0.23670174
Fatehabad,0.025592837,-0.038057126,-0.09635074,-0.11321498,-0.035524275,-25676.395,0.08891107
Fatehgarh Sahib,0.01407684,-0.04485308,-0.09188554,0.123659015,-0.009612917,-27690.54,0.04369757
Fatehpur,0.064249456,-0.07500219,-0.051973753,-0.18550317,-0.11675674,-17530.143,0.09434992
Firozabad,0.04245892,-0.084624365,-0.0854118,-0.47926903,0.023849204,-29356.621,0.31505367
Gadag,0.01632353,-0.066956244,-0.07115083,-0.034034453,0.05690805,-24463.408,-0.05021979
Gajapati,0.022340784,-0.0629762,-0.08064526,0.15413739,-0.032642104,-24692.77,0.03883819
Ganderbal,0.005264728,-0.063275486,-0.09804429,0.3364758,-0.016790237,-29510.977,0.13767688
Gandhinagar,0.03327922,-0.051519543,-0.09370686,-0.013142336,0.007726961,-29184.58,-0.004989501
Ganganagar,0.03696455,-0.042351205,-0.08140926,-0.1766901,-0.23279218,-21843.28,0.087175325
Ganjam,0.07011867,-0.051492587,-0.078757636,0.1317454,0.021229208,-23826.19,0.0330037
Garhchiroli,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Garhwa,0.041309323,-0.0384876,-0.098178916,-0.031885885,0.020750944,-25849.018,-0.016673367
Gautam Buddha Nagar,0.03398676,-0.065020904,-0.07958924,-0.21153799,0.03414009,-25898.602,0.12188414
Gaya,0.07511227,-0.05337415,-0.090130635,-0.038201123,0.07876285,-25461.596,-0.029653665
Ghaziabad,0.07345879,-0.06197623,-0.07583243,-0.15649389,0.03329506,-22757.334,0.1197912
Ghazipur,0.053507563,-0.07351521,-0.06668957,-0.3508425,-0.042648446,-21672.873,0.18808098
Giridih,0.044125654,-0.05458562,-0.089352414,-0.040220488,0.02162835,-25203.746,0.031771462
Goalpara,0.006743384,-0.07679789,-0.06931241,-0.1513789,0.0817762,-23275.906,0.095509835
Godda,0.031312544,-0.05497347,-0.092706904,-0.038564134,0.121236935,-27551.598,0.089321084
Golaghat,0.005993286,-0.06940689,-0.06906158,0.026189774,-0.010505997,-24403.46,0.0505808
Gonda,0.0549683,-0.07323425,-0.059824888,-0.26171982,-0.024343822,-19391.059,0.17192896
Gondiya,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Gopalganj,0.03937475,-0.0445783,-0.086701564,-0.05606639,0.07318744,-23221.266,-0.016827017
Gorakhpur,0.06497276,-0.039497692,-0.08271247,-0.06546095,-0.06442891,-21780.24,0.08476433
Gumla,0.03320224,-0.036058187,-0.10156873,-0.0118296305,0.015983026,-27296.096,0.044668186
Guna,0.058537025,-0.07463127,-0.07962249,-0.11209393,0.1034624,-25103.861,-0.07610532
Guntur,0.10860367,-0.066379,-0.077807054,-0.03691349,0.434053,-24936.111,0.07620459
Gurdaspur,0.049368303,-0.030420952,-0.10743557,-0.0067301546,-0.026887234,-27542.26,-0.0023712642
Gwalior,0.050899334,-0.06686865,-0.077035524,-0.027649088,0.04999611,-23261.3,0.005437642
Hailakandi,0.007565791,-0.100517474,-0.03917643,0.028408961,-0.092693605,-16148.49,-0.0896473
Hamirpur,0.029704323,-0.053961765,-0.0903695,-0.14105439,-0.086731285,-29833.217,0.1814789
Hanumangarh,0.034880586,-0.04291237,-0.07815041,-0.17762153,-0.25083685,-20275.014,0.08195405
Harda,0.019305265,-0.03103665,-0.11001455,-0.05075392,0.040437035,-28441.438,0.027030738
Hardoi,0.072988175,-0.09158717,-0.05716523,-0.5692937,-0.06364088,-18938.441,0.3819991
Hardwar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Hassan,0.021810064,-0.059611652,-0.07957849,-0.0034907467,0.06593289,-28028.03,-0.040232528
Haveri,0.027465899,-0.05087633,-0.07995195,-0.042025793,0.062491473,-24605.28,-0.0067515676
Hazaribagh,0.032910362,-0.051576473,-0.089989334,-0.047279947,0.059436582,-27937.408,0.014804267
Hingoli,0.03947846,-0.030478282,-0.09215109,-0.12187938,-0.172328,-22428.951,0.083627224
Hisar,0.04410915,-0.043618347,-0.084569015,-0.046257664,-0.0709102,-23211.992,0.042861626
Hoshiarpur,0.03857301,-0.041837245,-0.10387508,0.07694136,-0.030332614,-30026.518,-0.004354348
Hyderabad,0.11224792,-0.015837248,-0.062989004,0.10927426,-0.02832186,-13837.438,0.066433854
Idukki,0.019487668,-0.048380308,-0.09989784,0.011273805,0.02290485,-30962.596,0.0050761183
Imphal East,0.021031577,-0.07000741,-0.050556935,0.062131282,-0.15486431,-15878.772,0.035871804
Imphal West,0.019881366,-0.067269325,-0.06413965,0.02525863,-0.1166448,-19762.635,0.14233156
Indore,0.08220499,-0.046655476,-0.07673078,-0.006787443,0.04914268,-20837.473,0.026464112
Jabalpur,0.056944557,-0.058163594,-0.05836662,-0.006370636,-0.009006538,-16076.049,-0.07404798
Jagatsinghapur,0.02003231,-0.041602325,-0.09851379,0.11167029,0.012695537,-29321.314,0.086289115
Jaintia Hills,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Jaipur,0.12776496,-0.030463636,-0.06197203,-0.15044191,-0.22443348,-14007.249,0.09639627
Jaisalmer,0.017729618,-0.07060645,-0.06442166,-0.15507652,-0.26647753,-20465.477,0.040323604
Jajapur,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Jalandhar,0.05692052,-0.031375073,-0.11387766,0.03638203,0.009312794,-31464.8,0.050345574
Jalaun,0.028333977,-0.0811685,-0.06065046,-0.24431367,-0.054348923,-20976.982,0.09778565
Jalgaon,0.14591502,-0.010706562,-0.07566114,-0.12450141,-0.2022559,-14331.384,0.11403638
Jalna,0.06574742,-0.02642709,-0.07947201,-0.19605199,-0.21802887,-18687.154,0.10953185
Jalor,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Jalpaiguri,0.03094806,-0.042874005,-0.08904207,-0.015884846,-0.03551655,-26397.959,-0.011186141
Jammu,0.034049287,-0.03483171,-0.103099816,0.13728309,-0.016779961,-28870.547,0.16891007
Jamnagar,0.033751532,-0.05752752,-0.08992465,0.022774044,0.023380112,-28593.762,-0.0015437222
Jamtara,0.015033671,-0.047291316,-0.09265048,0.009487269,0.03022236,-24696.225,0.0012664222
Jamui,0.029366074,-0.06646904,-0.068490006,0.117373325,0.081929095,-19908.781,-0.06641992
Janjgir-Champa,0.06141069,-0.007334287,-0.10667463,0.15594423,-0.031667393,-23006.264,0.060652234
Jashpur,0.023069816,-0.020920642,-0.108533956,0.28817448,0.014912661,-25326.078,0.09430993
Jaunpur,0.06328462,-0.06304541,-0.056138165,-0.25748172,-0.11276665,-17604.922,0.13210526
Jehanabad,0.014129558,-0.04707807,-0.09134555,-0.041350238,0.03581725,-27037.662,-0.009756942
Jhabua,0.039216153,-0.09113464,-0.058777507,0.10815995,-0.03915303,-19827.049,-0.18299393
Jhajjar,0.021257313,-0.04154569,-0.0898113,-0.048313316,-0.07819303,-24824.215,0.053173233
Jhalawar,0.025596868,-0.049029242,-0.06708404,-0.447591,-0.39120287,-17314.37,0.18850772
Jhansi,0.039428253,-0.06750631,-0.06495421,-0.25213116,-0.08331361,-20514.502,0.15100083
Jharsuguda,0.008751734,-0.053091377,-0.09221986,0.072033085,0.038724184,-29110.244,0.111259885
Jhunjhunun,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Jind,0.032507066,-0.03152503,-0.09425643,-0.03972665,-0.045746528,-22420.033,0.041436404
Jodhpur,0.07933344,-0.052445024,-0.05645672,-0.20348208,-0.30432078,-15016.59,0.09651606
Jorhat,0.0052779736,-0.08270411,-0.06381308,-0.11190879,0.017731514,-26070.326,0.08830868
Junagadh,0.041303363,-0.033453565,-0.10684063,0.039976228,0.0011420535,-29358.01,-0.0017345691
Kachchh,0.052353755,-0.06531358,-0.08357273,-0.043542013,0.083367035,-28062.072,-0.004996722
Kaimur (Bhabua),0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Kaithal,0.03161944,-0.044476207,-0.08245186,-0.06690398,-0.1648421,-20792.854,0.027463024
Kalahandi,0.036885258,-0.053754084,-0.081962824,0.067784496,-0.082162306,-23031.01,0.024312384
Kamrup,0.014002824,-0.08989933,-0.08644791,-0.546021,0.21040593,-31169.715,0.2368918
Kancheepuram,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Kandhamal,0.022997223,-0.05488227,-0.09166014,0.13264048,0.0060567055,-27942.582,0.05952798
Kangra,0.030898325,-0.038758267,-0.10546541,0.0007708811,-0.0043169595,-32477.447,0.23895893
Kannauj,0.026029803,-0.09627963,-0.06670783,-0.37474898,-0.071702264,-23187.742,0.23151667
Kanniyakumari,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Kannur,0.045186017,-0.04500925,-0.08823246,-0.006453974,0.041601494,-25759.338,-0.035215933
Kanpur Dehat,0.02848561,-0.09586417,-0.069259346,-0.38128424,0.03317552,-24534.62,0.20160696
Kanpur Nagar,0.064870685,-0.0499154,-0.07135897,-0.18428966,-0.07571507,-20544.32,0.13171482
Kapurthala,0.022797193,-0.037632924,-0.11452911,0.07831095,0.00068147643,-32651.2,0.03953667
Karaikal,0.0045078644,-0.030820431,-0.10635554,-0.049691875,-0.028028985,-28097.164,0.04330473
Karauli,0.02922741,-0.07548708,-0.06700943,-0.23171388,-0.2992987,-21220.934,0.18326633
Karbi Anglong,0.008080362,-0.06074682,-0.08937637,-0.22191611,0.22219978,-28234.064,0.27539286
Kargil,0.0044657197,-0.053864256,-0.13517533,-0.44294828,-0.101449236,-45805.074,0.4739888
Karimganj,0.008642523,-0.07736125,-0.07311555,0.027085226,0.028782262,-24748.46,0.17601885
Karimnagar,0.05165637,-0.041630644,-0.07616138,0.11585495,0.08733678,-22837.11,-0.020090993
Karnal,0.03451316,-0.02566783,-0.10297743,-0.06408523,-0.074298576,-24341.455,0.06294006
Karur,0.019532816,-0.04317141,-0.090589,0.10891903,0.09905447,-26681.57,0.09088673
Kasaragod,0.028795121,-0.053673998,-0.086248346,-0.07749588,0.108185306,-26704.4,-0.04649343
Kathua,0.015125453,-0.07014903,-0.07859349,0.16550174,-0.07052747,-25465.195,0.11492584
Katihar,0.08124596,-0.040384337,-0.080801174,-0.026950514,0.123287685,-19725.537,-0.048112113
Katni,0.036170874,-0.07123779,-0.06413183,0.26191625,-0.0682302,-18312.953,-0.09206747
Kaushambi,0.03576631,-0.109865196,-0.06763583,-0.70135427,0.08425692,-23378.422,0.26976338
Kendrapara,0.02874127,-0.053663556,-0.08299532,0.12467701,-0.03189958,-25920.137,0.058112204
Kendujhar,0.03893739,-0.050584465,-0.08823093,0.09299088,0.008882954,-26091.66,0.039890684
Khagaria,0.029941417,-0.055432666,-0.077008955,0.021685474,0.054657355,-21408.164,-0.041539814
Khammam,0.03310257,-0.05712197,-0.0728829,0.015962588,-0.031158097,-23741.402,0.12986219
