date,district,enrol_total,age_0_5,age_5_17,age_18_greater,enrol_minor_ratio,enrol_adult_ratio
2024-11-18,Chennai,6296,655,1516,4125,0.3448,0.6552
2024-11-25,Chennai,6305,659,1506,4140,0.3434,0.6566
2024-12-02,Chennai,6267,661,1487,4119,0.3427,0.6573
2024-12-09,Chennai,6238,666,1474,4098,0.3431,0.6569
2024-12-16,Chennai,6184,670,1459,4055,0.3443,0.6557
2024-12-23,Chennai,6190,681,1463,4046,0.3464,0.6536
2024-12-30,Chennai,6205,695,1473,4037,0.3494,0.6506
2025-01-06,Chennai,6270,714,1498,4058,0.3528,0.6472
2025-01-13,Chennai,6291,728,1515,4048,0.3565,0.6435
2025-01-20,Chennai,6329,742,1538,4049,0.3602,0.6398
2025-01-27,Chennai,6309,748,1547,4014,0.3638,0.6362
2025-02-03,Chennai,6329,756,1564,4009,0.3666,0.6334
2025-02-10,Chennai,6298,755,1566,3977,0.3685,0.6315
2025-02-17,Chennai,6334,760,1581,3993,0.3696,0.6304
2025-02-24,Chennai,6360,760,1590,4010,0.3695,0.6305
2025-03-03,Chennai,6358,754,1587,4017,0.3682,0.6318
2025-03-10,Chennai,6291,738,1564,3989,0.3659,0.6341
2025-03-17,Chennai,6284,727,1553,4004,0.3628,0.6372
2025-03-24,Chennai,6293,717,1543,4033,0.3591,0.6409
2025-03-31,Chennai,6346,711,1542,4093,0.355,0.645
2025-04-07,Chennai,6384,703,1537,4144,0.3509,0.6491
2025-04-14,Chennai,6420,695,1534,4191,0.3472,0.6528
2025-04-21,Chennai,6408,684,1521,4203,0.3441,0.6559
2025-04-28,Chennai,6379,672,1508,4199,0.3417,0.6583
2025-05-05,Chennai,6394,668,1509,4217,0.3405,0.6595
2025-05-12,Chennai,6330,659,1496,4175,0.3404,0.6596
2025-05-19,Chennai,6253,651,1484,4118,0.3414,0.6586
2025-05-26,Chennai,6207,649,1483,4075,0.3435,0.6565
2025-06-02,Chennai,6175,651,1487,4037,0.3462,0.6538
2025-06-09,Chennai,6135,655,1491,3989,0.3498,0.6502
2025-06-16,Chennai,6156,667,1509,3980,0.3535,0.6465
2025-06-23,Chennai,6301,694,1557,4050,0.3572,0.6428
2024-01-01,Coimbatore,5772,652,1443,3677,0.363,0.637
2024-01-08,Coimbatore,5776,663,1441,3672,0.3643,0.6357
2024-01-15,Coimbatore,5871,684,1458,3729,0.3648,0.6352
2024-01-22,Coimbatore,5859,691,1445,3723,0.3646,0.6354
2024-01-29,Coimbatore,5895,702,1442,3751,0.3637,0.6363
2024-02-05,Coimbatore,5850,701,1418,3731,0.3622,0.6378
2024-02-12,Coimbatore,5786,694,1390,3702,0.3602,0.6398
2024-02-19,Coimbatore,5748,689,1370,3689,0.3582,0.6418
2024-02-26,Coimbatore,5701,679,1351,3671,0.3561,0.6439
2024-03-04,Coimbatore,5661,668,1337,3656,0.3542,0.6458
2024-03-11,Coimbatore,5727,668,1352,3707,0.3527,0.6473
2024-03-18,Coimbatore,5748,660,1360,3728,0.3514,0.6486
2024-03-25,Coimbatore,5800,655,1379,3766,0.3507,0.6493
2024-04-01,Coimbatore,5812,646,1391,3775,0.3505,0.6495
2024-04-08,Coimbatore,5835,637,1409,3789,0.3506,0.6494
2024-04-15,Coimbatore,5878,632,1432,3814,0.3511,0.6489
2024-04-22,Coimbatore,5843,620,1436,3787,0.3519,0.6481
2024-04-29,Coimbatore,5781,607,1431,3743,0.3525,0.6475
2024-05-06,Coimbatore,5786,603,1441,3742,0.3533,0.6467
2024-05-13,Coimbatore,5723,595,1430,3698,0.3538,0.6462
2024-05-20,Coimbatore,5673,591,1418,3664,0.3541,0.6459
2024-05-27,Coimbatore,5599,587,1397,3615,0.3543,0.6457
2024-06-03,Coimbatore,5639,598,1400,3641,0.3543,0.6457
2024-06-10,Coimbatore,5635,605,1390,3640,0.354,0.646
2024-06-17,Coimbatore,5619,613,1374,3632,0.3536,0.6464
2024-06-24,Coimbatore,5718,635,1386,3697,0.3534,0.6466
2024-07-01,Coimbatore,5779,653,1388,3738,0.3532,0.6468
2024-07-08,Coimbatore,5805,666,1384,3755,0.3531,0.6469
2024-07-15,Coimbatore,5844,681,1385,3778,0.3535,0.6465
2024-07-22,Coimbatore,5864,692,1385,3787,0.3542,0.6458
2024-07-29,Coimbatore,5914,704,1396,3814,0.3551,0.6449
2024-08-05,Coimbatore,5910,708,1398,3804,0.3563,0.6437
2024-08-12,Coimbatore,5840,701,1388,3751,0.3577,0.6423
2024-08-19,Coimbatore,5854,701,1401,3752,0.3591,0.6409
2024-08-26,Coimbatore,5774,688,1394,3692,0.3606,0.6394
2024-09-02,Coimbatore,5735,677,1397,3661,0.3616,0.6384
2024-09-09,Coimbatore,5705,665,1402,3638,0.3623,0.6377
2024-09-16,Coimbatore,5708,656,1413,3639,0.3625,0.6375
2024-09-23,Coimbatore,5738,648,1429,3661,0.362,0.638
2024-09-30,Coimbatore,5814,646,1452,3716,0.3609,0.6391
2024-10-07,Coimbatore,5849,639,1462,3748,0.3592,0.6408
2024-10-14,Coimbatore,5850,629,1459,3762,0.3569,0.6431
2024-10-21,Coimbatore,5816,617,1444,3755,0.3544,0.6456
2024-10-28,Coimbatore,5797,608,1430,3759,0.3516,0.6484
2024-11-04,Coimbatore,5762,601,1409,3752,0.3488,0.6512
2024-11-11,Coimbatore,5682,591,1377,3714,0.3464,0.6536
2024-11-18,Coimbatore,5678,592,1364,3722,0.3445,0.6555
2024-11-25,Coimbatore,5637,591,1344,3702,0.3433,0.6567
2024-12-02,Coimbatore,5696,604,1350,3742,0.343,0.657
2024-12-09,Coimbatore,5712,614,1349,3749,0.3437,0.6563
2024-12-16,Coimbatore,5727,625,1352,3750,0.3452,0.6548
2024-12-23,Coimbatore,5755,639,1361,3755,0.3475,0.6525
2024-12-30,Coimbatore,5781,653,1374,3754,0.3506,0.6494
2025-01-06,Coimbatore,5816,668,1392,3756,0.3542,0.6458
2025-01-13,Coimbatore,5829,679,1407,3743,0.3579,0.6421
2025-01-20,Coimbatore,5824,687,1419,3718,0.3616,0.6384
2025-01-27,Coimbatore,5832,694,1433,3705,0.3647,0.6353
2025-02-03,Coimbatore,5861,702,1451,3708,0.3673,0.6327
2025-02-10,Coimbatore,5833,700,1452,3681,0.3689,0.6311
2025-02-17,Coimbatore,5897,706,1473,3718,0.3695,0.6305
2025-02-24,Coimbatore,5841,696,1460,3685,0.3691,0.6309
2025-03-03,Coimbatore,5824,687,1453,3684,0.3674,0.6326
2025-03-10,Coimbatore,5871,684,1458,3729,0.3648,0.6352
2025-03-17,Coimbatore,5882,676,1450,3756,0.3614,0.6386
2025-03-24,Coimbatore,5868,663,1435,3770,0.3575,0.6425
2025-03-31,Coimbatore,5885,654,1426,3805,0.3534,0.6466
2025-04-07,Coimbatore,5868,641,1410,3817,0.3495,0.6505
2025-04-14,Coimbatore,5921,636,1412,3873,0.3459,0.6541
2025-04-21,Coimbatore,5895,625,1397,3873,0.343,0.657
2025-04-28,Coimbatore,5840,613,1379,3848,0.3411,0.6589
2025-05-05,Coimbatore,5830,608,1376,3846,0.3403,0.6597
2025-05-12,Coimbatore,5771,600,1365,3806,0.3405,0.6595
2025-05-19,Coimbatore,5747,599,1366,3782,0.3419,0.6581
2025-05-26,Coimbatore,5727,601,1371,3755,0.3443,0.6557
2025-06-02,Coimbatore,5702,604,1377,3721,0.3474,0.6526
2025-06-09,Coimbatore,5688,611,1386,3691,0.3511,0.6489
2025-06-16,Coimbatore,5701,622,1401,3678,0.3549,0.6451
2025-06-23,Coimbatore,5770,640,1429,3701,0.3586,0.6414
2024-01-01,Madurai,5449,620,1362,3467,0.3637,0.6363
2024-01-08,Madurai,5454,631,1359,3464,0.3649,0.6351
2024-01-15,Madurai,5495,644,1362,3489,0.3651,0.6349
2024-01-22,Madurai,5509,653,1356,3500,0.3647,0.6353
2024-01-29,Madurai,5542,662,1352,3528,0.3634,0.6366
2024-02-05,Madurai,5545,665,1341,3539,0.3618,0.6382
2024-02-12,Madurai,5533,664,1326,3543,0.3597,0.6403
2024-02-19,Madurai,5503,658,1309,3536,0.3574,0.6426
2024-02-26,Madurai,5463,648,1293,3522,0.3553,0.6447
2024-03-04,Madurai,5401,634,1275,3492,0.3535,0.6465
2024-03-11,Madurai,5374,622,1269,3483,0.3519,0.6481
2024-03-18,Madurai,5378,613,1274,3491,0.3509,0.6491
2024-03-25,Madurai,5455,611,1299,3545,0.3501,0.6499
2024-04-01,Madurai,5481,604,1315,3562,0.3501,0.6499
2024-04-08,Madurai,5475,593,1325,3557,0.3503,0.6497
2024-04-15,Madurai,5536,591,1352,3593,0.351,0.649
2024-04-22,Madurai,5545,585,1366,3594,0.3518,0.6482
2024-04-29,Madurai,5532,578,1372,3582,0.3525,0.6475
2024-05-06,Madurai,5484,571,1367,3546,0.3534,0.6466
2024-05-13,Madurai,5418,564,1354,3500,0.354,0.646
2024-05-20,Madurai,5390,563,1347,3480,0.3544,0.6456
2024-05-27,Madurai,5407,570,1347,3490,0.3545,0.6455
2024-06-03,Madurai,5359,572,1328,3459,0.3545,0.6455
2024-06-10,Madurai,5357,580,1318,3459,0.3543,0.6457
2024-06-17,Madurai,5374,591,1311,3472,0.3539,0.6461
2024-06-24,Madurai,5442,609,1316,3517,0.3537,0.6463
2024-07-01,Madurai,5481,624,1314,3543,0.3536,0.6464
2024-07-08,Madurai,5554,642,1322,3590,0.3536,0.6464
2024-07-15,Madurai,5548,651,1313,3584,0.354,0.646
2024-07-22,Madurai,5547,658,1309,3580,0.3546,0.6454
2024-07-29,Madurai,5580,667,1317,3596,0.3556,0.6444
2024-08-05,Madurai,5520,662,1307,3551,0.3567,0.6433
2024-08-12,Madurai,5501,660,1310,3531,0.3581,0.6419
2024-08-19,Madurai,5506,658,1321,3527,0.3594,0.6406
2024-08-26,Madurai,5490,651,1329,3510,0.3607,0.6393
2024-09-02,Madurai,5424,636,1325,3463,0.3615,0.6385
2024-09-09,Madurai,5433,629,1338,3466,0.362,0.638
2024-09-16,Madurai,5453,622,1352,3479,0.362,0.638
2024-09-23,Madurai,5455,611,1360,3484,0.3613,0.6387
2024-09-30,Madurai,5473,603,1368,3502,0.3601,0.6399
2024-10-07,Madurai,5488,595,1371,3522,0.3582,0.6418
2024-10-14,Madurai,5482,585,1366,3531,0.3559,0.6441
2024-10-21,Madurai,5450,575,1351,3524,0.3534,0.6466
2024-10-28,Madurai,5442,569,1339,3534,0.3506,0.6494
2024-11-04,Madurai,5381,560,1313,3508,0.3481,0.6519
2024-11-11,Madurai,5380,560,1301,3519,0.3459,0.6541
2024-11-18,Madurai,5374,562,1288,3524,0.3443,0.6557
2024-11-25,Madurai,5349,564,1273,3512,0.3434,0.6566
2024-12-02,Madurai,5370,573,1271,3526,0.3434,0.6566
2024-12-09,Madurai,5415,586,1278,3551,0.3442,0.6558
2024-12-16,Madurai,5438,598,1284,3556,0.3461,0.6539
2024-12-23,Madurai,5476,613,1297,3566,0.3488,0.6512
2024-12-30,Madurai,5548,632,1321,3595,0.352,0.648
2025-01-06,Madurai,5614,649,1347,3618,0.3555,0.6445
2025-01-13,Madurai,5669,665,1372,3632,0.3593,0.6407
2025-01-20,Madurai,5703,676,1393,3634,0.3628,0.6372
2025-01-27,Madurai,5692,680,1402,3610,0.3658,0.6342
2025-02-03,Madurai,5636,676,1398,3562,0.368,0.632
2025-02-10,Madurai,5600,672,1396,3532,0.3693,0.6307
2025-02-17,Madurai,5565,665,1391,3509,0.3695,0.6305
2025-02-24,Madurai,5494,652,1373,3469,0.3686,0.6314
2025-03-03,Madurai,5519,648,1375,3496,0.3666,0.6334
2025-03-10,Madurai,5504,637,1364,3503,0.3636,0.6364
2025-03-17,Madurai,5553,633,1366,3554,0.36,0.64
2025-03-24,Madurai,5550,622,1354,3574,0.356,0.644
2025-03-31,Madurai,5586,615,1351,3620,0.352,0.648
2025-04-07,Madurai,5622,609,1348,3665,0.3481,0.6519
2025-04-14,Madurai,5614,599,1336,3679,0.3447,0.6553
2025-04-21,Madurai,5586,589,1322,3675,0.3421,0.6579
2025-04-28,Madurai,5531,578,1306,3647,0.3406,0.6594
2025-05-05,Madurai,5517,574,1303,3640,0.3402,0.6598
2025-05-12,Madurai,5486,571,1299,3616,0.3409,0.6591
2025-05-19,Madurai,5463,571,1301,3591,0.3427,0.6573
2025-05-26,Madurai,5397,569,1295,3533,0.3454,0.6546
2025-06-02,Madurai,5435,580,1315,3540,0.3487,0.6513
2025-06-09,Madurai,5458,591,1333,3534,0.3525,0.6475
2025-06-16,Madurai,5466,601,1346,3519,0.3562,0.6438
2025-06-23,Madurai,5524,618,1370,3536,0.3599,0.6401
2024-01-01,Tiruchirappalli,5300,608,1324,3368,0.3645,0.6355
2024-01-08,Tiruchirappalli,5338,622,1328,3388,0.3653,0.6347
2024-01-15,Tiruchirappalli,5379,634,1331,3414,0.3653,0.6347
2024-01-22,Tiruchirappalli,5435,647,1334,3454,0.3645,0.6355
2024-01-29,Tiruchirappalli,5453,653,1327,3473,0.3631,0.6369
2024-02-05,Tiruchirappalli,5419,650,1307,3462,0.3611,0.6389
2024-02-12,Tiruchirappalli,5419,649,1296,3474,0.3589,0.6411
2024-02-19,Tiruchirappalli,5388,642,1280,3466,0.3567,0.6433
2024-02-26,Tiruchirappalli,5353,632,1266,3455,0.3546,0.6454
2024-03-04,Tiruchirappalli,5301,618,1251,3432,0.3526,0.6474
2024-03-11,Tiruchirappalli,5288,608,1249,3431,0.3512,0.6488
2024-03-18,Tiruchirappalli,5299,599,1257,3443,0.3503,0.6497
2024-03-25,Tiruchirappalli,5338,593,1274,3471,0.3498,0.6502
2024-04-01,Tiruchirappalli,5327,582,1281,3464,0.3497,0.6503
2024-04-08,Tiruchirappalli,5337,574,1295,3468,0.3502,0.6498
2024-04-15,Tiruchirappalli,5327,565,1304,3458,0.3509,0.6491
2024-04-22,Tiruchirappalli,5315,558,1312,3445,0.3518,0.6482
2024-04-29,Tiruchirappalli,5260,548,1307,3405,0.3527,0.6473
2024-05-06,Tiruchirappalli,5204,541,1299,3364,0.3536,0.6464
2024-05-13,Tiruchirappalli,5163,538,1291,3334,0.3543,0.6457
2024-05-20,Tiruchirappalli,5186,544,1295,3347,0.3546,0.6454
2024-05-27,Tiruchirappalli,5183,549,1290,3344,0.3548,0.6452
2024-06-03,Tiruchirappalli,5194,558,1285,3351,0.3548,0.6452
2024-06-10,Tiruchirappalli,5164,563,1268,3333,0.3546,0.6454
2024-06-17,Tiruchirappalli,5243,582,1276,3385,0.3544,0.6456
2024-06-24,Tiruchirappalli,5319,600,1283,3436,0.354,0.646
2024-07-01,Tiruchirappalli,5361,615,1282,3464,0.3539,0.6461
2024-07-08,Tiruchirappalli,5413,630,1286,3497,0.354,0.646
2024-07-15,Tiruchirappalli,5409,638,1279,3492,0.3544,0.6456
2024-07-22,Tiruchirappalli,5403,643,1275,3485,0.355,0.645
2024-07-29,Tiruchirappalli,5396,646,1275,3475,0.356,0.644
2024-08-05,Tiruchirappalli,5376,645,1275,3456,0.3571,0.6429
2024-08-12,Tiruchirappalli,5343,640,1275,3428,0.3584,0.6416
2024-08-19,Tiruchirappalli,5269,628,1267,3374,0.3597,0.6403
2024-08-26,Tiruchirappalli,5267,622,1278,3367,0.3607,0.6393
2024-09-02,Tiruchirappalli,5301,618,1298,3385,0.3614,0.6386
2024-09-09,Tiruchirappalli,5263,605,1299,3359,0.3618,0.6382
2024-09-16,Tiruchirappalli,5298,599,1316,3383,0.3615,0.6385
2024-09-23,Tiruchirappalli,5312,590,1326,3396,0.3607,0.6393
2024-09-30,Tiruchirappalli,5392,589,1348,3455,0.3592,0.6408
2024-10-07,Tiruchirappalli,5394,580,1347,3467,0.3572,0.6428
2024-10-14,Tiruchirappalli,5395,572,1343,3480,0.355,0.645
2024-10-21,Tiruchirappalli,5426,570,1342,3514,0.3524,0.6476
2024-10-28,Tiruchirappalli,5409,564,1328,3517,0.3498,0.6502
2024-11-04,Tiruchirappalli,5317,553,1294,3470,0.3474,0.6526
2024-11-11,Tiruchirappalli,5255,548,1267,3440,0.3454,0.6546
2024-11-18,Tiruchirappalli,5229,548,1251,3430,0.344,0.656
2024-11-25,Tiruchirappalli,5211,552,1238,3421,0.3435,0.6565
2024-12-02,Tiruchirappalli,5243,563,1240,3440,0.3439,0.6561
2024-12-09,Tiruchirappalli,5268,575,1243,3450,0.3451,0.6549
2024-12-16,Tiruchirappalli,5390,598,1273,3519,0.3471,0.6529
2024-12-23,Tiruchirappalli,5367,606,1273,3488,0.3501,0.6499
2024-12-30,Tiruchirappalli,5456,626,1302,3528,0.3534,0.6466
2025-01-06,Tiruchirappalli,5429,632,1306,3491,0.357,0.643
2025-01-13,Tiruchirappalli,5485,647,1331,3507,0.3606,0.6394
2025-01-20,Tiruchirappalli,5487,653,1343,3491,0.3638,0.6362
2025-01-27,Tiruchirappalli,5427,650,1339,3438,0.3665,0.6335
2025-02-03,Tiruchirappalli,5419,650,1346,3423,0.3683,0.6317
2025-02-10,Tiruchirappalli,5405,647,1349,3409,0.3693,0.6307
2025-02-17,Tiruchirappalli,5339,636,1335,3368,0.3692,0.6308
2025-02-24,Tiruchirappalli,5347,631,1336,3380,0.3679,0.6321
2025-03-03,Tiruchirappalli,5331,622,1327,3382,0.3656,0.6344
2025-03-10,Tiruchirappalli,5333,613,1319,3401,0.3623,0.6377
2025-03-17,Tiruchirappalli,5371,607,1319,3445,0.3586,0.6414
2025-03-24,Tiruchirappalli,5387,599,1311,3477,0.3546,0.6454
2025-03-31,Tiruchirappalli,5419,592,1307,3520,0.3504,0.6496
2025-04-07,Tiruchirappalli,5463,587,1307,3569,0.3467,0.6533
2025-04-14,Tiruchirappalli,5426,576,1289,3561,0.3437,0.6563
2025-04-21,Tiruchirappalli,5419,569,1281,3569,0.3414,0.6586
2025-04-28,Tiruchirappalli,5431,566,1282,3583,0.3403,0.6597
2025-05-05,Tiruchirappalli,5360,557,1266,3537,0.3401,0.6599
2025-05-12,Tiruchirappalli,5325,555,1263,3507,0.3414,0.6586
2025-05-19,Tiruchirappalli,5296,555,1264,3477,0.3435,0.6565
2025-05-26,Tiruchirappalli,5256,557,1264,3435,0.3465,0.6535
2025-06-02,Tiruchirappalli,5305,570,1287,3448,0.35,0.65
2025-06-09,Tiruchirappalli,5315,580,1301,3434,0.3539,0.6461
2025-06-16,Tiruchirappalli,5327,591,1315,3421,0.3578,0.6422
2025-06-23,Tiruchirappalli,5381,607,1337,3437,0.3613,0.6387
2024-01-01,Salem,5222,604,1303,3315,0.3652,0.6348
2024-01-08,Salem,5273,618,1310,3345,0.3656,0.6344
2024-01-15,Salem,5300,628,1309,3363,0.3655,0.6345
2024-01-22,Salem,5301,633,1298,3370,0.3643,0.6357
2024-01-29,Salem,5264,631,1278,3355,0.3627,0.6373
2024-02-05,Salem,5204,624,1252,3328,0.3605,0.6395
2024-02-12,Salem,5223,624,1247,3352,0.3582,0.6418
2024-02-19,Salem,5199,617,1233,3349,0.3558,0.6442
2024-02-26,Salem,5190,609,1226,3355,0.3536,0.6464
2024-03-04,Salem,5170,599,1220,3351,0.3518,0.6482
2024-03-11,Salem,5237,597,1238,3402,0.3504,0.6496
2024-03-18,Salem,5276,592,1253,3431,0.3497,0.6503
2024-03-25,Salem,5282,582,1263,3437,0.3493,0.6507
2024-04-01,Salem,5268,571,1270,3427,0.3495,0.6505
2024-04-08,Salem,5320,568,1294,3458,0.35,0.65
2024-04-15,Salem,5270,556,1293,3421,0.3509,0.6491
2024-04-22,Salem,5227,547,1293,3387,0.352,0.648
2024-04-29,Salem,5225,544,1300,3381,0.3529,0.6471
2024-05-06,Salem,5190,540,1296,3354,0.3538,0.6462
2024-05-13,Salem,5160,539,1290,3331,0.3545,0.6455
2024-05-20,Salem,5150,543,1285,3322,0.355,0.645
2024-05-27,Salem,5154,549,1281,3324,0.3551,0.6449
2024-06-03,Salem,5157,558,1273,3326,0.3551,0.6449
2024-06-10,Salem,5227,575,1280,3372,0.3549,0.6451
2024-06-17,Salem,5248,587,1274,3387,0.3546,0.6454
2024-06-24,Salem,5304,604,1276,3424,0.3544,0.6456
2024-07-01,Salem,5326,616,1271,3439,0.3543,0.6457
2024-07-08,Salem,5338,626,1266,3446,0.3544,0.6456
2024-07-15,Salem,5311,629,1255,3427,0.3547,0.6453
2024-07-22,Salem,5275,630,1245,3400,0.3555,0.6445
2024-07-29,Salem,5253,630,1242,3381,0.3564,0.6436
2024-08-05,Salem,5245,629,1246,3370,0.3575,0.6425
2024-08-12,Salem,5194,621,1242,3331,0.3587,0.6413
2024-08-19,Salem,5151,611,1242,3298,0.3597,0.6403
2024-08-26,Salem,5152,605,1253,3294,0.3606,0.6394
2024-09-02,Salem,5176,600,1270,3306,0.3613,0.6387
2024-09-09,Salem,5194,592,1285,3317,0.3614,0.6386
2024-09-16,Salem,5184,581,1290,3313,0.3609,0.6391
2024-09-23,Salem,5197,573,1298,3326,0.36,0.64
2024-09-30,Salem,5239,568,1310,3361,0.3585,0.6415
2024-10-07,Salem,5200,555,1298,3347,0.3563,0.6437
2024-10-14,Salem,5191,548,1290,3353,0.3541,0.6459
2024-10-21,Salem,5138,537,1269,3332,0.3515,0.6485
2024-10-28,Salem,5088,530,1246,3312,0.3491,0.6509
2024-11-04,Salem,5082,529,1234,3319,0.3469,0.6531
2024-11-11,Salem,5053,528,1216,3309,0.3451,0.6549
2024-11-18,Salem,5101,537,1218,3346,0.3441,0.6559
2024-11-25,Salem,5114,545,1213,3356,0.3438,0.6562
2024-12-02,Salem,5165,559,1220,3386,0.3444,0.6556
2024-12-09,Salem,5175,569,1221,3385,0.3459,0.6541
2024-12-16,Salem,5181,580,1225,3376,0.3484,0.6516
2024-12-23,Salem,5241,596,1245,3400,0.3513,0.6487
2024-12-30,Salem,5275,610,1261,3404,0.3547,0.6453
2025-01-06,Salem,5370,629,1295,3446,0.3583,0.6417
2025-01-13,Salem,5384,638,1310,3436,0.3618,0.6382
2025-01-20,Salem,5359,640,1315,3404,0.3648,0.6352
2025-01-27,Salem,5336,640,1320,3376,0.3673,0.6327
2025-02-03,Salem,5314,637,1322,3355,0.3686,0.6314
2025-02-10,Salem,5265,629,1315,3321,0.3692,0.6308
2025-02-17,Salem,5197,617,1299,3281,0.3687,0.6313
2025-02-24,Salem,5173,607,1291,3275,0.3669,0.6331
2025-03-03,Salem,5160,598,1282,3280,0.3643,0.6357
2025-03-10,Salem,5200,593,1284,3323,0.361,0.639
2025-03-17,Salem,5255,589,1287,3379,0.357,0.643
2025-03-24,Salem,5248,578,1274,3396,0.3529,0.6471
2025-03-31,Salem,5279,572,1270,3437,0.3489,0.6511
2025-04-07,Salem,5291,565,1263,3463,0.3455,0.6545
2025-04-14,Salem,5321,561,1262,3498,0.3426,0.6574
2025-04-21,Salem,5333,558,1260,3515,0.3409,0.6591
2025-04-28,Salem,5339,556,1260,3523,0.3401,0.6599
2025-05-05,Salem,5325,554,1259,3512,0.3405,0.6595
2025-05-12,Salem,5263,550,1250,3463,0.342,0.658
2025-05-19,Salem,5244,552,1254,3438,0.3444,0.6556
2025-05-26,Salem,5265,561,1269,3435,0.3476,0.6524
2025-06-02,Salem,5249,568,1277,3404,0.3515,0.6485
2025-06-09,Salem,5293,582,1299,3412,0.3554,0.6446
2025-06-16,Salem,5309,594,1313,3402,0.3592,0.6408
2025-06-23,Salem,5346,608,1330,3408,0.3625,0.6375
2024-01-01,Tiruppur,5149,599,1284,3266,0.3657,0.6343
2024-01-08,Tiruppur,5184,611,1286,3287,0.3659,0.6341
2024-01-15,Tiruppur,5201,619,1281,3301,0.3653,0.6347
2024-01-22,Tiruppur,5187,621,1267,3299,0.364,0.636
2024-01-29,Tiruppur,5158,619,1249,3290,0.3622,0.6378
2024-02-05,Tiruppur,5148,617,1236,3295,0.3599,0.6401
2024-02-12,Tiruppur,5113,609,1218,3286,0.3573,0.6427
2024-02-19,Tiruppur,5107,603,1210,3294,0.355,0.645
2024-02-26,Tiruppur,5099,595,1204,3300,0.3528,0.6472
2024-03-04,Tiruppur,5087,585,1201,3301,0.3511,0.6489
2024-03-11,Tiruppur,5154,583,1220,3351,0.3498,0.6502
2024-03-18,Tiruppur,5115,569,1217,3329,0.3492,0.6508
2024-03-25,Tiruppur,5166,565,1238,3363,0.349,0.651
2024-04-01,Tiruppur,5142,553,1243,3346,0.3493,0.6507
2024-04-08,Tiruppur,5125,544,1250,3331,0.35,0.65
2024-04-15,Tiruppur,5092,535,1252,3305,0.3509,0.6491
2024-04-22,Tiruppur,5089,531,1261,3297,0.3521,0.6479
2024-04-29,Tiruppur,5021,522,1251,3248,0.3531,0.6469
