date,district,bio_total,bio_age_5_17,bio_age_17_,age_5_ratio,age_17_ratio,dependency_ratio
2025-04-07,Tiruchirappalli,4523,1644,2879,0.3635,0.6365,0.3603
2025-04-14,Tiruchirappalli,4543,1648,2895,0.3628,0.6372,0.361
2025-04-21,Tiruchirappalli,4535,1647,2888,0.3632,0.6368,0.3623
2025-04-28,Tiruchirappalli,4529,1650,2879,0.3643,0.6357,0.364
2025-05-05,Tiruchirappalli,4493,1647,2846,0.3666,0.6334,0.3662
2025-05-12,Tiruchirappalli,4459,1647,2812,0.3694,0.6306,0.3687
2025-05-19,Tiruchirappalli,4461,1663,2798,0.3728,0.6272,0.3715
2025-05-26,Tiruchirappalli,4476,1686,2790,0.3767,0.6233,0.3745
2025-06-02,Tiruchirappalli,4447,1693,2754,0.3807,0.6193,0.3776
2025-06-09,Tiruchirappalli,4457,1714,2743,0.3846,0.6154,0.3808
2025-06-16,Tiruchirappalli,4464,1733,2731,0.3882,0.6118,0.384
2025-06-23,Tiruchirappalli,4536,1775,2761,0.3913,0.6087,0.3871
2024-01-01,Salem,4343,1718,2625,0.3956,0.6044,0.3929
2024-01-08,Salem,4374,1731,2643,0.3957,0.6043,0.3952
2024-01-15,Salem,4401,1739,2662,0.3951,0.6049,0.3971
2024-01-22,Salem,4408,1734,2674,0.3934,0.6066,0.3985
2024-01-29,Salem,4428,1731,2697,0.3909,0.6091,0.3995
2024-02-05,Salem,4436,1720,2716,0.3877,0.6123,0.4
2024-02-12,Salem,4403,1691,2712,0.3841,0.6159,0.3999
2024-02-19,Salem,4365,1659,2706,0.3801,0.6199,0.3993
2024-02-26,Salem,4352,1637,2715,0.3761,0.6239,0.3983
2024-03-04,Salem,4313,1606,2707,0.3724,0.6276,0.3967
2024-03-11,Salem,4320,1594,2726,0.369,0.631,0.3948
2024-03-18,Salem,4307,1577,2730,0.3661,0.6339,0.3924
2024-03-25,Salem,4338,1580,2758,0.3642,0.6358,0.3897
2024-04-01,Salem,4347,1578,2769,0.363,0.637,0.3868
2024-04-08,Salem,4369,1585,2784,0.3628,0.6372,0.3837
2024-04-15,Salem,4357,1584,2773,0.3636,0.6364,0.3805
2024-04-22,Salem,4345,1587,2758,0.3652,0.6348,0.3773
2024-04-29,Salem,4354,1601,2753,0.3677,0.6323,0.3741
2024-05-06,Salem,4328,1605,2723,0.3708,0.6292,0.3712
2024-05-13,Salem,4291,1607,2684,0.3745,0.6255,0.3684
2024-05-20,Salem,4262,1613,2649,0.3785,0.6215,0.3659
2024-05-27,Salem,4249,1625,2624,0.3824,0.6176,0.3638
2024-06-03,Salem,4204,1624,2580,0.3863,0.6137,0.3622
2024-06-10,Salem,4238,1651,2587,0.3896,0.6104,0.3609
2024-06-17,Salem,4283,1681,2602,0.3925,0.6075,0.3602
2024-06-24,Salem,4347,1715,2632,0.3945,0.6055,0.36
2024-07-01,Salem,4408,1744,2664,0.3956,0.6044,0.3603
2024-07-08,Salem,4396,1740,2656,0.3958,0.6042,0.3611
2024-07-15,Salem,4443,1755,2688,0.395,0.605,0.3624
2024-07-22,Salem,4459,1754,2705,0.3934,0.6066,0.3642
2024-07-29,Salem,4441,1736,2705,0.3909,0.6091,0.3664
2024-08-05,Salem,4437,1720,2717,0.3876,0.6124,0.3689
2024-08-12,Salem,4441,1706,2735,0.3841,0.6159,0.3717
2024-08-19,Salem,4427,1683,2744,0.3802,0.6198,0.3747
2024-08-26,Salem,4413,1660,2753,0.3762,0.6238,0.3779
2024-09-02,Salem,4410,1642,2768,0.3723,0.6277,0.3811
2024-09-09,Salem,4393,1621,2772,0.369,0.631,0.3843
2024-09-16,Salem,4421,1619,2802,0.3662,0.6338,0.3874
2024-09-23,Salem,4449,1620,2829,0.3641,0.6359,0.3903
2024-09-30,Salem,4438,1611,2827,0.363,0.637,0.3929
2024-10-07,Salem,4426,1606,2820,0.3629,0.6371,0.3952
2024-10-14,Salem,4421,1607,2814,0.3635,0.6365,0.3971
2024-10-21,Salem,4372,1597,2775,0.3653,0.6347,0.3985
2024-10-28,Salem,4392,1615,2777,0.3677,0.6323,0.3995
2024-11-04,Salem,4355,1615,2740,0.3708,0.6292,0.4
2024-11-11,Salem,4302,1611,2691,0.3745,0.6255,0.3999
2024-11-18,Salem,4267,1615,2652,0.3785,0.6215,0.3993
2024-11-25,Salem,4245,1624,2621,0.3826,0.6174,0.3983
2024-12-02,Salem,4259,1645,2614,0.3862,0.6138,0.3967
2024-12-09,Salem,4275,1666,2609,0.3897,0.6103,0.3948
2024-12-16,Salem,4298,1687,2611,0.3925,0.6075,0.3924
2024-12-23,Salem,4378,1727,2651,0.3945,0.6055,0.3897
2024-12-30,Salem,4388,1736,2652,0.3956,0.6044,0.3868
2025-01-06,Salem,4456,1764,2692,0.3959,0.6041,0.3837
2025-01-13,Salem,4523,1787,2736,0.3951,0.6049,0.3805
2025-01-20,Salem,4565,1796,2769,0.3934,0.6066,0.3773
2025-01-27,Salem,4510,1763,2747,0.3909,0.6091,0.3741
2025-02-03,Salem,4462,1730,2732,0.3877,0.6123,0.3712
2025-02-10,Salem,4441,1706,2735,0.3841,0.6159,0.3684
2025-02-17,Salem,4435,1686,2749,0.3802,0.6198,0.3659
2025-02-24,Salem,4394,1653,2741,0.3762,0.6238,0.3638
2025-03-03,Salem,4410,1642,2768,0.3723,0.6277,0.3622
2025-03-10,Salem,4406,1626,2780,0.369,0.631,0.3609
