,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
Bathinda,-0.00723703,0.0015118188,-0.059765376,-0.010898801,0.35867766,-24590.201,-0.13200551
Begusarai,0.0224462,-0.00503149,-0.10338336,-0.04403022,1.0637528,117811.56,-0.1241344
Betul,-0.027872737,-0.00059588044,-0.097258046,-0.0664118,1.0081074,-283097.16,-0.1301497
Bhadrak,0.00031219725,0.0020735185,-0.058211584,-0.011272101,0.53759646,42083.715,-0.14178663
Bhagalpur,0.13557258,0.10258243,-0.091147244,-0.08558059,-0.25216743,798061.06,-0.11179692
Bhandara,-0.0068793143,0.00052695576,-0.05533902,-0.01418189,0.25458825,-28456.96,-0.13783151
Bharatpur,0.010785935,-0.023947991,-0.1114472,-0.057669476,1.3669784,-157460.31,-0.1456265
Bharuch,-3.63365e-05,0.018485175,-0.09660172,-0.09466551,0.4672731,30974.836,-0.17962633
Bhavnagar,-0.048514735,0.015991013,-0.08999331,-0.07408195,1.1369262,-582741.75,-0.13316587
Bhilwara,-0.0051770373,-0.004767967,-0.09791794,-0.0741116,1.0617354,-122625.836,-0.13725977
Bhind,-0.021099338,0.05364597,-0.115291476,-0.13495286,0.6024919,-708789.4,-0.19523065
Bhiwani,-0.011899914,0.00144114,-0.053872373,-0.00946349,0.50293565,-48107.094,-0.13274154
Bhojpur,0.095100634,0.0019130544,-0.10317806,-0.045046497,0.119989045,591068.94,-0.12807983
Bhopal,-0.035304833,-0.008657156,-0.09480294,-0.063783936,1.5004303,-369118.78,-0.12189317
Bidar,-0.0065100724,0.0020207788,-0.10064371,-0.081050664,0.6090731,-38105.445,-0.15069331
Bijapur,-0.02348176,0.18078329,-0.06436059,-0.26262817,0.40998933,-162313.5,-0.1498529
Bijnor,0.015588641,0.030144718,-0.08277057,-0.030960204,1.5470947,215777.95,-0.082226284
Bikaner,0.038297184,0.015522841,-0.09432578,-0.046222426,0.4334859,76356.14,-0.1126859
Bilaspur,-0.037452657,-0.030675821,-0.10996457,-0.04174398,1.2972583,-440033.88,-0.15209219
Birbhum,-0.03218872,0.004635752,-0.093448125,-0.07107045,1.9628751,-227304.44,-0.12424924
Bishnupur,0.0060652806,0.0070947516,-0.09323669,-0.1491159,0.03419583,49624.48,-0.17333713
Bokaro,0.013008327,0.003401679,-0.060013212,-0.01433976,0.4717683,135072.6,-0.13058937
Bongaigaon,0.0003640825,0.026498329,-0.1179404,-0.21036759,0.2934059,-15925.521,-0.24049279
Budaun,0.024477646,-0.02067484,-0.10535328,-0.0511845,0.5223975,-329636.84,-0.13157684
Bulandshahr,0.05065135,0.016763667,-0.116771795,-0.096951865,0.92019707,206542.06,-0.17872751
Buldana,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Bundi,0.0033520842,0.01827931,-0.09720378,-0.09855071,0.41600165,29850.172,-0.14657718
Burhanpur,-0.01575576,0.043163206,-0.10270064,-0.09531232,0.17967632,-568831.94,-0.13771911
Buxar,0.044449076,0.007865228,-0.0656047,-0.0145874135,0.21831812,360102.38,-0.10938619
Cachar,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Central,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Chamba,-0.006693427,0.000938365,-0.044887472,-0.0057055177,0.21824273,-27184.28,-0.14587614
Chamoli,-0.004453264,0.00024341406,-0.045012012,-0.017089373,0.12973583,-17636.549,-0.1529507
Champawat,-0.0033769596,0.0006727176,-0.06225589,-0.011834235,0.093024276,-13602.483,-0.13121824
Champhai,0.0006138672,0.0155651895,-0.08489506,-0.11201569,0.0058795246,-10770.358,-0.1495712
Chamrajnagar,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Chandauli,0.029893504,0.015844392,-0.115042895,-0.08781914,0.26042232,-19404.246,-0.16709821
Chandel,0.003053616,0.0010211687,-0.06144495,-0.01089367,-0.010996029,28204.592,-0.12828493
Chandigarh,-0.005078441,0.004383597,-0.092306286,-0.084587306,0.37024486,-17712.709,-0.17171817
Chandrapur,-0.012123856,0.0011077481,-0.10197957,-0.06726973,0.5218617,-130748.164,-0.15419592
Changlang,0.0012585798,0.00084462983,-0.066450074,-0.03130754,0.033883754,16950.793,-0.1326086
Chatra,0.014684851,-0.0036495938,-0.10133879,-0.043331202,0.3365522,37187.07,-0.10507566
Chennai,-0.010924405,0.0076691727,-0.09401627,-0.09949799,1.1549951,-61707.273,-0.15502009
Chhatarpur,-0.01008741,0.009443609,-0.1032912,-0.07371542,1.0790141,-565308.44,-0.13053875
Chhindwara,-0.024582114,0.0029164767,-0.06502248,-0.013159997,1.3118545,-89006.21,-0.10484891
Chikkaballapura,-0.00848802,0.00074621476,-0.05329131,-0.017547503,0.41715235,-27895.1,-0.12992093
Chikmagalur,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Chirang,-0.010448348,0.043705497,-0.1282637,-0.22013184,0.24761607,-214226.52,-0.27191436
Chitradurga,-0.010363036,0.0018622166,-0.051477466,-0.015468559,0.57394993,-29224.637,-0.1285044
Chitrakoot,0.014927469,0.0032202438,-0.07528412,-0.014699958,0.37186232,145431.9,-0.08510253
Chittaurgarh,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Chittoor,-0.01957536,0.0029656824,-0.048570264,-0.0060812575,1.134605,-62265.848,-0.1326005
Churachandpur,0.024572413,-0.0018922166,-0.1038665,-0.062415447,-0.27369836,-112614.85,-0.15280214
Churu,-0.00042160283,-0.0140201645,-0.108668365,-0.055543296,0.8587707,-306907.25,-0.14323977
Coimbatore,-0.004375205,0.004126429,-0.0943817,-0.11887901,1.0767978,28056.955,-0.19269593
Cuddalore,-0.012881229,0.004244197,-0.09407161,-0.078571945,1.1276032,-30870.268,-0.16097884
Cuttack,-0.0035241412,0.0015878916,-0.05320223,-0.009461693,0.64054763,20180.266,-0.14666769
Dadra & Nagar Haveli,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Dakshin Bastar Dantewada,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Dakshina Kannada,-0.01565157,0.004113347,-0.0407539,-0.0075787236,0.878702,-45119.58,-0.13489355
Damoh,-0.011216681,0.0029245808,-0.06920027,-0.012569173,0.7812846,-24025.922,-0.090016045
Darbhanga,0.035276383,0.010431004,-0.09438447,-0.04222187,1.3315984,339265.9,-0.11109401
Darrang,0.013884986,0.19676578,-0.07610277,-0.23215194,0.48868933,327013.06,-0.15758602
Datia,-0.0038842093,-0.004590551,-0.10723675,-0.056273695,0.49570942,-133868.81,-0.13136584
Dausa,0.0022145922,0.003553686,-0.065587685,-0.014787035,0.62620044,63287.684,-0.11388665
Davanagere,-0.0123561025,0.0016744632,-0.048339624,-0.011618666,0.69632345,-37649.457,-0.13238163
Debagarh,-0.0028759094,0.00035537628,-0.058825232,-0.02082224,0.086112,-8508.427,-0.12905827
Dehradun,-0.021259595,-0.004833264,-0.101531364,-0.08272536,0.8096017,-371733.34,-0.15695602
Deoghar,0.03792105,0.020560043,-0.120971955,-0.13002148,0.5098085,307619.88,-0.20790192
Deoria,0.04918777,0.018395882,-0.09916796,-0.04909055,0.3919863,330989.9,-0.12071557
Dewas,-0.0112583805,0.00423388,-0.095176764,-0.04132487,1.0127282,-153766.55,-0.10242175
Dhalai,0.005618393,0.0020055554,-0.1004062,-0.12993126,0.089335844,33638.234,-0.18946579
Dhamtari,-0.008303955,0.00069017813,-0.060082935,-0.008769717,0.2763409,-36662.523,-0.118705556
Dhanbad,0.00060209504,-0.016133819,-0.110045955,-0.061067637,0.93630785,-182116.17,-0.16419275
Dhar,0.0098651815,0.04083528,-0.10601675,-0.1227236,0.8956784,-22528.328,-0.15331155
Dharmapuri,-0.010360644,0.0026196325,-0.053453736,-0.0064411373,0.7163573,-20037.84,-0.11575608
Dharwad,-0.015372722,0.0013191439,-0.05332255,-0.01251002,0.7300908,-59660.945,-0.12938797
Dhemaji,-0.049539093,0.15072227,-0.06777209,-0.19663906,0.5483985,-527719.6,-0.1432802
Dhenkanal,-0.0030514996,0.0007097705,-0.060144115,-0.011885073,0.34812692,3577.6091,-0.13963649
Dhubri,0.01937856,0.040761076,-0.11117672,-0.11618155,0.76099515,32534.908,-0.1654402
Dhule,-0.01026856,0.029058013,-0.100670196,-0.118573606,0.7042835,-438491.56,-0.15991315
Dibang Valley,-0.00045415948,0.00051335443,-0.06422664,-0.017263953,-0.02084169,-5869.286,-0.17103612
Dibrugarh,-0.06834107,0.26566765,-0.068250425,-0.31498867,0.7945924,-530167.2,-0.21358037
Dima Hasao,0.007187817,0.039664842,-0.11167975,-0.18882857,0.03551923,60094.438,-0.23216045
Dimapur,0.0136874225,0.06565197,-0.09313169,-0.1080162,-0.14923614,19183.17,-0.16011788
Dindigul,-0.003700215,0.0016657807,-0.05513954,-0.009931141,0.6866813,21664.908,-0.13243827
Dindori,-0.0072851414,0.0006375957,-0.07137728,-0.012702228,0.35027978,-25999.203,-0.10952912
Diu,-0.0024135425,0.0002234775,-0.026012005,-0.00206496,-0.035687067,-6504.1567,-0.14545083
Doda,-0.0072563407,-0.0032097518,-0.102861464,-0.058095504,0.46471685,-107598.71,-0.1438651
Dumka,0.026875475,0.011241997,-0.1255906,-0.18182378,0.35092396,178499.88,-0.23314415
Dungarpur,0.016374044,0.008613867,-0.09587179,-0.080348164,0.5427999,154251.62,-0.15726534
Durg,-0.011012925,0.0011384266,-0.101638354,-0.056648713,0.45533442,-132963.9,-0.14916459
East,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
East Garo Hills,0.0036336854,0.3768065,0.031218816,-0.22169311,-0.24120583,287096.78,0.02941293
East Godavari,-0.019308968,0.0017110056,-0.04724619,-0.007982436,1.0853335,-66183.96,-0.14543486
East Kameng,-0.0013875882,0.00068484904,-0.05349513,-0.015179691,-0.047486555,-99.08901,-0.101968884
East Khasi Hills,-0.05146987,2.1266453,0.080350585,-0.30723467,0.28117263,929369.25,0.074374184
East Siang,-0.00031170604,0.0006990824,-0.046927147,-0.008801219,-0.01321417,6971.215,-0.13144335
Ernakulam,-0.00052404945,0.013398462,-0.08153251,-0.1027655,0.61179715,10411.439,-0.15320112
Erode,-0.008354532,0.0016123715,-0.05338963,-0.0077178036,0.7359636,-8332.23,-0.13343395
Etah,-0.00032853574,-0.021285526,-0.10784843,-0.0513226,0.17439836,-591263.9,-0.14391197
Etawah,0.009524676,-0.00016827085,-0.10475736,-0.051747832,0.42238176,-61594.715,-0.13394907
Faridabad,-0.01629028,-0.008371508,-0.089128084,-0.051966596,0.58166,-703404.2,-0.101542346
Faridkot,-0.0031750845,0.00077879714,-0.058558192,-0.011840445,0.097289234,-12406.036,-0.14126337
Farrukhabad,0.02358843,0.005293564,-0.09699394,-0.07543143,0.3535025,189118.19,-0.14425798
Fatehabad,-0.010180366,0.0011782185,-0.05578283,-0.013346144,0.3733197,-41482.465,-0.11930856
Fatehgarh Sahib,-0.0032819049,0.0010249253,-0.051915232,-0.0092835575,0.11445771,-10436.478,-0.14550206
Fatehpur,0.014263878,-0.02561965,-0.11674088,-0.063015364,0.8124309,-569508.5,-0.16456562
Firozabad,0.0038250547,-0.066155754,-0.11927847,-0.08897364,0.36957544,-542423.75,-0.18331286
Gadag,-0.0139106875,0.00014378945,-0.060246095,-0.022786073,0.66719216,-57377.066,-0.1275652
Gajapati,-0.003506173,0.0010201511,-0.06258835,-0.015870847,0.2325693,-7037.452,-0.13709655
Ganderbal,-0.0038058956,0.0008460086,-0.05934222,-0.011010933,0.07319522,-12974.319,-0.10615311
Gandhinagar,-0.011612064,0.10716272,-0.07836503,-0.16784705,0.4847046,-32094.438,-0.16260616
Ganganagar,-0.0015037837,0.0020350653,-0.057426903,-0.009523043,0.5918951,33348.24,-0.122581705
Ganjam,-0.012566387,0.00196509,-0.055228252,-0.009998612,1.0634905,-19183.352,-0.14003357
Garhchiroli,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Garhwa,0.00030636115,0.0032521165,-0.06521515,-0.008513309,0.6872141,57888.8,-0.09683336
Gautam Buddha Nagar,0.06887983,0.10870707,-0.09108318,-0.067384645,-0.14788221,27288.594,-0.11379433
Gaya,0.22772487,0.08859552,-0.11025412,-0.05850157,-0.93308944,1110920.9,-0.13665855
Ghaziabad,0.04923285,-0.02269018,-0.11074486,-0.09027365,0.6459309,-290521.47,-0.15856865
Ghazipur,0.06330295,0.008638671,-0.07421983,-0.017624596,0.50552976,509696.22,-0.11833323
Giridih,0.025406959,-0.020885322,-0.11143563,-0.04732687,0.93237156,-38944.586,-0.12991837
Goalpara,-0.039127707,0.133719,-0.10839479,-0.2121768,0.8025455,-510860.9,-0.21359852
Godda,0.014833723,0.0069564106,-0.097855836,-0.078696266,0.4289354,139454.88,-0.13707398
Golaghat,-0.06289705,0.4094869,-0.048899118,-0.1604356,0.58517855,-545839.06,-0.098217055
Gonda,0.027822074,0.009754208,-0.11635383,-0.09434009,0.7489367,-146170.22,-0.1723519
Gondiya,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Gopalganj,0.074979275,-0.007476901,-0.11294453,-0.058855984,-0.16171256,25751.928,-0.143427
Gorakhpur,0.08158119,0.0527053,-0.13118976,-0.13205928,0.2715291,87732.0,-0.21739821
Gumla,0.0058361343,-0.0027715638,-0.10068005,-0.05317635,0.47593978,-45502.312,-0.12714845
Guna,-0.007808112,-0.0023824251,-0.10850929,-0.062187906,0.94184756,-171471.58,-0.1389352
Guntur,-0.020189736,0.0027907675,-0.04673266,-0.006429807,1.296064,-55872.633,-0.12753728
Gurdaspur,-0.014308359,0.009726739,-0.118198335,-0.12259489,0.630253,-166434.5,-0.21209411
Gwalior,-0.025155285,0.044516657,-0.111868806,-0.119554214,0.966298,-803843.8,-0.16966335
Hailakandi,-0.009638746,0.024003798,-0.10817272,-0.14722024,0.50944966,-164310.6,-0.18544015
Hamirpur,0.003861338,0.0027268117,-0.06069032,-0.014313465,0.45625728,63145.95,-0.14000158
Hanumangarh,-0.010080397,-0.0118910605,-0.10511092,-0.04522862,0.50700516,-169162.42,-0.13892645
Harda,-0.004604099,0.0011376389,-0.06666257,-0.01276011,0.32006752,-6586.1313,-0.10654126
Hardoi,-0.004644746,-0.14477941,-0.14258474,-0.07377002,0.7235001,-1469096.5,-0.20786522
Hardwar,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Hassan,-0.010831443,0.0013300839,-0.048077114,-0.008268428,0.49553663,-42888.39,-0.15553732
Haveri,-0.012452365,0.0020811195,-0.053513736,-0.012412694,0.5924157,-45081.586,-0.123246565
Hazaribagh,0.014385874,0.010401287,-0.09218973,-0.06248068,0.5832409,148763.62,-0.14567053
Hingoli,-0.04201228,0.029742474,-0.10979431,-0.10996558,0.58134264,-686065.8,-0.16706103
Hisar,-0.012136764,0.0014015513,-0.09281348,-0.044763826,0.69146425,-62181.36,-0.1254913
Hoshiarpur,-0.007127285,0.023251126,-0.097385384,-0.10185382,0.38835576,-80685.8,-0.17560035
Hyderabad,-0.11369444,-0.051765416,-0.115998775,-0.09755373,2.9834213,-1783924.1,-0.195453
Idukki,-0.003707527,0.0016447532,-0.04234988,-0.0065342,0.18621029,-6838.298,-0.15316747
Imphal East,0.0029728434,0.0014692721,-0.05357769,-0.0086923,0.03642128,32924.773,-0.13599074
Imphal West,0.006726998,0.0035391448,-0.10059632,-0.20605946,0.10015893,45836.086,-0.24732296
Indore,-0.06285307,-0.031201266,-0.10419039,-0.059128806,1.9033414,-1122050.1,-0.13185029
Jabalpur,-0.025866197,0.00047981937,-0.09930765,-0.07432649,1.6503736,-156064.19,-0.12930451
Jagatsinghapur,-0.0067318887,0.0030064972,-0.048518673,-0.0068998425,0.4932605,-4527.8057,-0.1396186
Jaintia Hills,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Jaipur,0.0053367056,0.06443617,-0.09985145,-0.06987918,2.4451995,-269678.44,-0.13732132
Jaisalmer,0.0074336897,0.0023317484,-0.099745095,-0.11360412,0.22572938,57872.44,-0.17405069
Jajapur,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Jalandhar,-0.006522701,0.0028500652,-0.043344896,-0.019526653,0.49455532,-4322.0625,-0.13519561
Jalaun,0.025813336,0.017434979,-0.09287141,-0.076153405,0.20979497,195914.5,-0.13514854
Jalgaon,-0.021379182,0.009202773,-0.09849806,-0.064677976,1.3569525,-289401.84,-0.14210509
Jalna,-0.0067268354,0.0016787953,-0.06336215,-0.011019525,0.69377327,1206.5868,-0.11708986
Jalor,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Jalpaiguri,0.029229084,0.06806518,-0.07492357,-0.13052596,0.5001535,203245.47,-0.1335985
Jammu,-0.002264896,0.002636858,-0.096927986,-0.1209475,0.5760623,11307.442,-0.19608243
Jamnagar,-0.018379748,0.031141803,-0.09970588,-0.1223038,0.6152823,-221129.61,-0.18259832
Jamtara,0.0020383873,0.002744247,-0.068193115,-0.010208992,0.42837262,56588.688,-0.07979589
Jamui,0.07071342,0.053684738,-0.07797354,-0.034961455,0.011828245,533282.2,-0.06624955
Janjgir-Champa,-0.010538495,0.0011280368,-0.0636499,-0.010455925,0.6342331,-32119.49,-0.12039786
Jashpur,0.0021536432,0.001654368,-0.059486367,-0.009666105,0.21900065,37424.64,-0.12932207
Jaunpur,0.10022241,0.045902558,-0.117287405,-0.102469996,0.25319755,618069.9,-0.18226884
Jehanabad,0.041622236,0.024728086,-0.1066228,-0.11167932,-0.041986063,283454.03,-0.17416278
Jhabua,0.027531534,0.0213822,-0.10574386,-0.06099123,0.30804133,-216839.69,-0.11928981
Jhajjar,-0.009656265,0.0010543265,-0.05561275,-0.0096393535,0.37663388,-40406.43,-0.13321233
Jhalawar,0.00447827,0.0073332717,-0.096324064,-0.0716866,0.7490192,78678.89,-0.13973358
Jhansi,0.008879587,0.0033625197,-0.099531375,-0.094846174,0.67407966,81410.3,-0.14683115
Jharsuguda,-0.0042847157,0.0006115441,-0.05247132,-0.008159866,0.14146285,-16345.21,-0.14291452
Jhunjhunun,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Jind,-0.014478226,0.00097183563,-0.06959536,-0.012163745,0.5836229,-64495.98,-0.11262729
Jodhpur,0.013252082,0.056204177,-0.08202866,-0.055340253,1.3482808,-191203.31,-0.09204422
Jorhat,-0.045618657,0.17834945,-0.0878133,-0.26427734,0.6907872,-302823.62,-0.23061186
Junagadh,-0.006874896,0.009225719,-0.08666132,-0.055823628,0.6956677,-5804.057,-0.15006259
Kachchh,-0.012981502,0.04823855,-0.09626474,-0.1409906,0.641557,-299715.75,-0.18104836
Kaimur (Bhabua),-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Kaithal,-0.0063949805,0.00047325398,-0.0974741,-0.04557113,0.36022642,-45717.0,-0.13466579
Kalahandi,-0.00064695306,0.0032252548,-0.06351437,-0.015724603,0.48678377,35782.73,-0.114594586
Kamrup,-0.041940585,0.1560786,-0.10937574,-0.18771003,0.9267282,-650834.06,-0.2233561
Kancheepuram,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Kandhamal,-0.0052866642,0.00088688615,-0.06755524,-0.014706455,0.38885942,-12517.717,-0.13683462
Kangra,-0.014503461,0.0016040638,-0.04389514,-0.0057753315,0.5919833,-61664.67,-0.15066385
Kannauj,0.0124467835,-0.0082382765,-0.103546284,-0.055952616,0.3479889,-56897.324,-0.13364208
Kanniyakumari,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Kannur,0.002545372,0.0071082655,-0.088570334,-0.21196018,0.6432677,50352.184,-0.21487775
Kanpur Dehat,0.012521962,0.013556361,-0.11587567,-0.09975737,0.2878469,-169302.88,-0.18085454
Kanpur Nagar,0.10593974,0.12273933,-0.106108904,-0.09506598,0.27151075,348483.28,-0.15596351
Kapurthala,-0.01823973,0.19276865,-0.061080236,-0.28997272,0.33063632,20831.959,-0.19515032
Karaikal,-0.0029482981,0.00074431516,-0.041597094,-0.006224335,0.03917649,-10325.73,-0.14828543
Karauli,-0.0018264632,-0.0040608793,-0.104959995,-0.0494821,0.75048214,-117713.85,-0.13568535
Karbi Anglong,0.068415165,0.21215166,-0.03447744,-0.12875089,-0.31384876,708076.5,-0.06236291
Kargil,-0.0011193472,0.000990412,-0.047847696,-0.0067879283,0.072787926,5076.1562,-0.14060266
Karimganj,-0.017910933,0.10403322,-0.10584216,-0.1573561,0.964225,-447907.5,-0.18544477
Karimnagar,-0.012209005,0.0020573407,-0.052311126,-0.009485858,0.8971084,-27283.533,-0.15178046
Karnal,-0.01315186,0.0011451516,-0.06230593,-0.010197043,0.59945595,-52446.03,-0.12155356
Karur,-0.00623609,0.0010548489,-0.058040097,-0.009808032,0.4916527,-9859.301,-0.13447192
Kasaragod,-0.0029919108,0.0033217727,-0.048204597,-0.0066870134,0.41506827,16009.874,-0.13181
Kathua,-0.007196487,0.0012710803,-0.051652756,-0.0054119336,0.36146966,-19980.854,-0.1221016
Katihar,0.032157555,0.019656494,-0.08477784,-0.036331702,1.285142,303065.34,-0.07361529
Katni,-0.009105011,0.0008680358,-0.10341423,-0.07121132,1.1345417,-116134.09,-0.12638217
